agrmnt_id,ref_curr_id,ref_office_id,cust_id,spouse_id,tenor,num_of_inst,next_inst_due_num,next_inst_num,next_inst_due_dt,next_inst_dt,agrmnt_dt,effective_dt,total_down_payment_nett_amt,inst_amt,prod_type
83171001032,,3171001,527424008,528400257,60,60,,,,,2022-12-25 00:00:00.000,2023-01-01 00:00:00.000,4000000,570754,UMC
93275013764,,3275013,197072492,817751231,60,60,,,,,2022-12-25 00:00:00.000,2023-01-01 00:00:00.000,2000000,1031250,NMC
83175006856,,3175006,568213163,101394852,60,60,,,,,2022-12-26 00:00:00.000,2023-01-02 00:00:00.000,2000000,387450,UMC
73275013304,,3275013,694625073,829322901,24,24,,,,,2022-12-28 00:00:00.000,2023-01-04 00:00:00.000,0,1320083,Syana
83173003657,,3173003,259997218,364467808,24,24,,,,,2022-12-28 00:00:00.000,2023-01-04 00:00:00.000,4000000,804925,UMC
93171001156,,3171001,534836926,318685954,60,60,,,,,2022-12-28 00:00:00.000,2023-01-04 00:00:00.000,4000000,590517,NMC
93175009843,,3175009,720478913,706052959,48,48,,,,,2022-12-28 00:00:00.000,2023-01-04 00:00:00.000,2000000,1125000,NMC
73276015951,,3276015,144739552,523031348,12,12,,,,,2022-12-29 00:00:00.000,2023-01-05 00:00:00.000,0,1849500,Syana
83276014806,,3276014,848406346,172829427,24,24,,,,,2022-12-29 00:00:00.000,2023-01-05 00:00:00.000,2000000,603735,UMC
73175006604,,3175006,987825707,707151283,12,12,,,,,2022-12-30 00:00:00.000,2023-01-06 00:00:00.000,0,1849500,Syana
